pair_index,geometry_stratum,C_img_signed,C_pe_signed,C_text_signed,A_img,A_pe,A_visual,in_V50,in_V25,G_PRE_POST
0,START|medium|2to4,0.0310144424438,-0.00424265721813,0.0127576291561,0.0310144424438,0.00424265721813,0.356164383562,True,True,0.00188663601875
1,END|mild|2to4,0.00495809316635,-0.0314929494634,-0.00514770299196,0.00495809316635,0.0314929494634,0.369863013699,True,False,-0.00494091212749
2,END|mild|2to4,0.017192363739,0.00294041540474,0.00181975960732,0.017192363739,0.00294041540474,0.219178082192,True,True,0.00173952430487
3,START|medium|2to4,0.0745141506195,0.0605044339318,0.00141119584441,0.0745141506195,0.0605044339318,0.919765166341,False,False,-0.00398462638259
4,START|medium|lt2,0.0397484302521,0.0536045045592,0.00804526358843,0.0397484302521,0.0536045045592,0.802348336595,False,False,0.00384464859962
5,END|mild|2to4,-0.0341319441795,0.0347286630422,-0.0157015938312,0.0341319441795,0.0347286630422,0.655577299413,False,False,0.00161845982075
6,START|mild|2to4,0.0670104026794,0.0445439517498,-0.026331987232,0.0670104026794,0.0445439517498,0.850293542074,False,False,-0.00664839148521
7,END|mild|2to4,0.0324353575706,-0.00150543171912,0.00911076366901,0.0324353575706,0.00150543171912,0.3228962818,True,True,5.25712966919e-05
8,END|medium|lt2,0.0359014868736,0.0180996768177,-0.00196396186948,0.0359014868736,0.0180996768177,0.526418786693,True,False,-0.000976897776127
9,START|medium|2to4,0.0872910022736,-0.00184712815098,-0.0084715783596,0.0872910022736,0.00184712815098,0.494129158513,True,False,0.0122774988413
10,START|mild|2to4,0.00983119010925,0.00280913710594,-0.00974662601948,0.00983119010925,0.00280913710594,0.139921722114,True,True,0.00023340433836
11,END|mild|lt2,0.063452899456,0.0495175162796,0.00444633513689,0.063452899456,0.0495175162796,0.866927592955,False,False,-0.00179554522038
12,START|medium|ge4,0.0602013468742,-0.0321822508704,-3.51667404175e-05,0.0602013468742,0.0321822508704,0.755381604697,False,False,0.0235914215446
13,START|mild|2to4,0.0101028680801,-0.019827216398,-0.00325009226799,0.0101028680801,0.019827216398,0.320939334638,True,True,-0.00306843221188
14,END|mild|2to4,0.0137172341347,0.0396546099801,0.00986084342003,0.0137172341347,0.0396546099801,0.520547945205,False,False,0.00489662587643
15,END|medium|2to4,0.0338615179062,0.0139609707985,-0.0138721093535,0.0338615179062,0.0139609707985,0.468688845401,True,False,0.0127403996885
16,START|mild|2to4,0.040196955204,0.0383498608135,0.00145195424557,0.040196955204,0.0383498608135,0.732876712329,False,False,0.00142125785351
17,START|medium|2to4,-0.0182528495789,0.000969286076725,-0.0019473284483,0.0182528495789,0.000969286076725,0.205479452055,True,True,-0.000897392630577
18,END|mild|lt2,0.00298571586609,-0.022794670891,-0.0114935338497,0.00298571586609,0.022794670891,0.26614481409,True,True,-0.000864192843437
19,START|mild|lt2,0.00947195291519,-0.00682337349281,0.00158101320267,0.00947195291519,0.00682337349281,0.184931506849,True,True,-0.00237721204758
20,END|mild|lt2,-0.00224924087524,0.0696314473171,-0.000611618161201,0.00224924087524,0.0696314473171,0.505870841487,False,False,-0.00203255563974
21,END|mild|lt2,0.0208640098572,-0.0303177377209,-0.00812987238169,0.0208640098572,0.0303177377209,0.518590998043,False,False,0.0128971263766
22,END|strong|2to4,0.0361985564232,0.0131560284644,-0.0145480930805,0.0361985564232,0.0131560284644,0.479452054795,False,False,0.00559757649899
23,END|strong|ge4,0.0735778212547,0.0518948817626,-0.0422525405884,0.0735778212547,0.0518948817626,0.891389432485,False,False,0.00955347716808
24,END|mild|2to4,0.0555837154388,0.0126740834676,0.00907565653324,0.0555837154388,0.0126740834676,0.563600782779,False,False,0.00115133821964
25,END|mild|2to4,0.0377898216248,0.0639358093031,-0.00360795855522,0.0377898216248,0.0639358093031,0.815068493151,False,False,-0.00441305339336
26,END|mild|2to4,0.0607960224152,0.0354647480417,0.00281768292189,0.0607960224152,0.0354647480417,0.780821917808,False,False,-0.00451523065567
27,START|mild|2to4,0.109830498695,0.054817141965,-0.0278377011418,0.109830498695,0.054817141965,0.925636007828,False,False,-0.00430288910866
28,END|mild|lt2,-0.00133001804352,0.00748617388308,0.00418737530708,0.00133001804352,0.00748617388308,0.107632093933,True,True,-0.000942066311836
29,START|mild|lt2,0.0065004825592,0.00343854818493,-0.00625712424517,0.0065004825592,0.00343854818493,0.119373776908,True,True,0.00386279821396
30,END|mild|lt2,0.0363293290138,0.00154606276192,0.00686543434858,0.0363293290138,0.00154606276192,0.356164383562,True,False,0.000733181834221
