unit,cohort,sample_id,source_shard,target,orientation,zoom,latent_shift,norm_offset,pixel_shift,opp_na,strict_identity,PRE_L_CORRECT,PRE_L_IDENTITY,PRE_M_IDENTITY,PRE_M_OPPOSITE,PRE_M_SHUFFLED,PRE_S_OPPOSITE_relrms,PRE_best3,MID_L_CORRECT,MID_L_IDENTITY,MID_M_IDENTITY,MID_M_OPPOSITE,MID_M_SHUFFLED,MID_S_OPPOSITE_relrms,MID_best3,POST_L_CORRECT,POST_L_IDENTITY,POST_M_IDENTITY,POST_M_OPPOSITE,POST_M_SHUFFLED,POST_S_OPPOSITE_relrms,POST_best3
1804,camera,4484375,data/1_2024/shard-000477.tar,256x256,vertical,1.2263,3.594,0.9457,57.5,0,0,0.420731,0.419318,-0.001413,0.024520,-0.001657,0.167713,0.250,0.418917,0.420245,0.001328,0.003395,0.000364,0.069684,1.000,0.418520,0.419522,0.001002,0.003090,0.000227,0.059714,1.000
1805,camera,3607375,data/1_2024/shard-000477.tar,256x256,horizontal,1.1709,2.906,0.0105,-46.5,0,0,0.714563,0.716603,0.002040,0.007502,-0.000728,0.107425,0.250,0.710877,0.717220,0.006343,0.008820,0.004127,0.075907,1.000,0.711129,0.717367,0.006238,0.008794,0.004293,0.078164,1.000
1806,camera,6589375,data/1_2024/shard-000477.tar,256x256,vertical,1.2247,0.250,0.5312,4.0,0,0,0.545936,0.538801,-0.007135,0.000756,-0.001132,0.013979,0.000,0.538750,0.540118,0.001368,0.000393,0.000572,0.010458,0.750,0.538874,0.538604,-0.000269,0.000324,0.000633,0.009198,0.250
1807,camera,7212375,data/1_2024/shard-000477.tar,256x256,vertical,1.1875,0.281,0.5429,4.5,0,0,0.724190,0.724964,0.000775,-0.000179,-0.000480,0.014498,0.000,0.721676,0.724438,0.002762,-0.000300,0.000044,0.011447,0.250,0.720611,0.723724,0.003113,-0.000188,0.000377,0.010964,0.250
1808,camera,2843375,data/1_2024/shard-000477.tar,256x256,horizontal,1.3273,1.094,0.5897,17.5,0,0,0.394256,0.388687,-0.005569,-0.000345,-0.002356,0.023468,0.000,0.388939,0.389224,0.000285,0.000775,0.002131,0.026504,0.250,0.388418,0.388069,-0.000349,-0.000358,0.002286,0.031583,0.000
1809,camera,1052375,data/1_2024/shard-000477.tar,256x256,vertical,1.3622,1.281,0.4064,-20.5,0,0,0.379062,0.370486,-0.008576,-0.004573,-0.006792,0.079072,0.000,0.373641,0.370820,-0.002821,-0.001302,-0.000645,0.037567,0.000,0.372046,0.370643,-0.001403,-0.000713,-0.000970,0.034960,0.000
1810,camera,364375,data/1_2024/shard-000477.tar,256x256,vertical,1.1743,2.656,0.0619,-42.5,0,0,0.550668,0.546213,-0.004455,0.002281,0.021305,0.079895,0.250,0.546733,0.545944,-0.000789,0.005641,0.005191,0.059467,0.250,0.548176,0.548175,-0.000000,0.006923,0.005321,0.061757,0.500
1811,camera,1801375,data/1_2024/shard-000477.tar,256x256,horizontal,1.1541,0.719,0.3647,-11.5,0,0,0.510469,0.510555,0.000086,0.001135,0.008569,0.040171,0.250,0.507403,0.511836,0.004433,0.002065,0.007428,0.031517,1.000,0.507771,0.511345,0.003574,0.001116,0.006706,0.026402,0.750
1812,camera,5164375,data/1_2024/shard-000477.tar,256x256,vertical,1.1875,0.031,0.4952,-0.5,0,0,0.463662,0.466038,0.002376,-0.000049,0.005140,0.004296,0.000,0.461236,0.466934,0.005698,0.000048,-0.000601,0.003906,0.500,0.460718,0.465295,0.004578,-0.000811,0.000580,0.015150,0.000
1813,camera,738375,data/1_2024/shard-000477.tar,256x256,vertical,1.1891,2.062,0.1887,-33.0,0,0,0.464954,0.465549,0.000595,0.004245,0.002208,0.070638,0.250,0.463973,0.465431,0.001458,0.004989,0.001014,0.056505,0.250,0.463043,0.464616,0.001573,0.006670,0.001831,0.065356,0.250
