pair_id,source_shard,sample_id,original_side,zoom_band,k_start,k_end,available,full_height,signed_shift_start,M_TOP_PRE,M_TOP_MID,M_TOP_POST,M_BOT_PRE,M_BOT_MID,M_BOT_POST,G_PRE_MID,G_MID_POST,G_PRE_POST,content_asymmetry,in_balanced_subset
159,data/1_2024/shard-000477.tar,1749503,START,mild,2,57,59,315,-27.5,0.00331610441208,0.00211936235428,0.00241535902023,0.00778312981129,0.00746660679579,0.00212250649929,-0.000912480056286,0.00568003207445,0.00476755201817,0.006829038,True
160,data/1_2024/shard-000477.tar,1762375,START,mild,1,84,85,341,-41.5,0.00131154805422,0.00251548737288,0.00182951241732,0.00627488642931,0.00272455066442,0.00380357354879,0.00475427508354,-0.00176499783993,0.00298927724361,0.00901074,False
161,data/1_2024/shard-000477.tar,1768503,START,mild,22,83,105,361,-30.5,0.00430989265442,0.00233297049999,0.00171926617622,0.000157102942467,0.000878028571606,0.00244323164225,-0.00270916521549,-0.00216758996248,-0.00487675517797,3.3662e-05,True
162,data/1_2024/shard-000477.tar,1772503,START,mild,9,76,85,341,-33.5,-0.00924459844828,-0.00941668450832,-0.0100969299674,-0.000749476253986,0.000745840370655,0.00065702944994,-0.00166740268469,-0.000591434538364,-0.00225883722305,0.007422805,True
163,data/1_2024/shard-000477.tar,1778375,START,mild,9,91,100,356,-41.0,0.000611364841461,0.00126941502094,0.00186386704445,0.0014518648386,0.000170782208443,0.00168764591217,0.0019233673811,-0.000881925225258,0.00104144215584,0.004751772,True
164,data/1_2024/shard-000477.tar,1780375,END,mild,29,77,106,362,-24.0,0.000166930258274,0.00102338194847,0.00060523301363,-5.2273273468e-05,-0.000299125909805,-9.97558236122e-05,0.00110369175673,-0.000614486634731,0.000489205121994,0.012228299,False
165,data/1_2024/shard-000477.tar,1789503,START,mild,10,75,85,341,-32.5,-0.000902853906155,5.60581684113e-05,-0.00339692831039,0.000984326004982,0.00122748315334,0.00186203420162,0.000715754926205,-0.00408753752708,-0.00337178260088,0.000110783,True
166,data/1_2024/shard-000477.tar,1797375,START,medium,8,146,154,410,-69.0,-0.00344757735729,0.00171189010143,0.00206689536572,0.00327442586422,-0.00117741525173,-0.00170858949423,0.00951247662306,0.000966891646385,0.0104793682694,0.017951034,False
167,data/1_2024/shard-000477.tar,1820503,END,medium,11,165,176,432,-77.0,-0.0121385678649,-0.00210626423359,-0.000798344612122,0.0295408368111,0.0240519344807,0.00965820252895,0.0155212059617,0.0157016515732,0.0312228575349,0.014111683,False
168,data/1_2024/shard-000477.tar,1824503,START,mild,8,56,64,320,-24.0,0.000693678855896,0.000472515821457,0.000308230519295,0.00145661830902,0.000634014606476,0.000748068094254,0.000601440668106,-0.00027833878994,0.000323101878166,0.01380422,False
