pool,n,mean_exposures_per_source,sum_crop_positions_stride64,mean_exposures_per_possible_crop_proxy
P0_priority,1808,3318.5840707964603,302143,19.858146639174166
P1_sr_clean_v1,6286,954.5020680878142,994631,6.032387890584548
P2_sr_clean_wide,7440,806.4516129032259,1159533,5.174496974212894
full_eligible,9430,636.2672322375398,,
