pool,n,share_of_full
P0_priority,672314,0.19102694949697
P1_sr_clean_v1,2301219,0.6538534757486351
P2_sr_clean_wide,2756861,0.7833166452240563
P3_lineart_extra,430609,0.12235045484095342
P4_rough_extra,416118,0.11823307587047148
